state,county,start_time,duration,min_customers,max_customers,mean_customers
New Jersey,Hudson,11/1/2016 2:15,1.25,5871,10779,8469
New Jersey,Hudson,11/8/2016 14:45,0.75,1814,1815,1814
New Jersey,Hudson,11/11/2016 16:30,2,227,229,228
New Jersey,Hudson,11/12/2016 7:30,0.25,3994,3994,3994
New Jersey,Hudson,11/12/2016 11:30,0.25,706,706,706
New Jersey,Hudson,11/14/2016 7:15,0.25,400,400,400
New Jersey,Hudson,11/18/2016 5:45,1.5,1976,1977,1976
New Jersey,Hudson,11/20/2016 13:45,3.25,359,538,487
New Jersey,Hudson,11/20/2016 20:45,0.75,1042,2092,1732
New Jersey,Hudson,11/26/2016 23:30,0.25,1669,1669,1669
New Jersey,Hudson,11/28/2016 3:00,16.5,1284,2256,1932
New Jersey,Hudson,11/29/2016 20:00,0.5,2232,3431,2832
New Jersey,Hudson,11/30/2016 0:00,1.5,2067,2131,2120
New Jersey,Hudson,11/30/2016 1:45,6.75,305,1447,777
New Jersey,Hudson,12/1/2016 18:15,0.25,1830,1830,1830
New Jersey,Hudson,12/1/2016 23:45,0.5,517,517,517
New Jersey,Hudson,12/6/2016 15:15,1,359,359,359
New Jersey,Hudson,12/6/2016 17:00,8,358,471,387
New Jersey,Hudson,12/7/2016 5:45,0.25,693,693,693
New Jersey,Hudson,12/12/2016 7:30,2.75,312,716,479
New Jersey,Hudson,12/20/2016 15:30,0.25,2357,2357,2357
New Jersey,Hudson,12/21/2016 18:00,2,1426,2933,1721
New Jersey,Hudson,12/21/2016 20:30,0.25,320,320,320
New Jersey,Hudson,1/3/2017 11:30,0.5,746,746,746
New Jersey,Hudson,1/6/2017 1:15,0.5,2347,2348,2348
New Jersey,Hudson,1/10/2017 1:30,0.5,4330,4787,4559
New Jersey,Hudson,1/10/2017 2:30,0.25,3436,3436,3436
New Jersey,Hudson,1/10/2017 12:00,0.25,3650,3650,3650
New Jersey,Hudson,1/17/2017 20:15,0.75,368,1565,1166
New Jersey,Hudson,1/23/2017 18:00,0.25,201,201,201
New Jersey,Hudson,1/24/2017 7:00,0.25,563,563,563
New Jersey,Hudson,1/24/2017 7:30,0.5,224,396,310
New Jersey,Hudson,1/24/2017 10:30,0.25,973,973,973
New Jersey,Hudson,1/24/2017 19:30,1.5,201,223,209
New Jersey,Hudson,1/24/2017 22:15,1,912,1035,978
New Jersey,Hudson,1/25/2017 19:15,0.25,486,486,486
New Jersey,Hudson,2/4/2017 12:15,0.5,327,327,327
New Jersey,Hudson,2/14/2017 22:00,0.75,202,205,204
New Jersey,Hudson,2/19/2017 15:30,1.25,1383,2192,1867
New Jersey,Hudson,2/19/2017 17:30,0.25,1265,1265,1265
New Jersey,Hudson,2/20/2017 15:45,2,1907,3005,2182
New Jersey,Hudson,3/3/2017 21:45,2,706,733,723
New Jersey,Hudson,3/4/2017 6:00,0.25,708,708,708
New Jersey,Hudson,3/4/2017 8:45,0.75,259,259,259
New Jersey,Hudson,3/4/2017 20:15,0.25,379,379,379
New Jersey,Hudson,3/4/2017 23:00,6,437,1216,871
New Jersey,Hudson,3/6/2017 6:45,0.25,563,563,563
New Jersey,Hudson,3/6/2017 14:30,0.25,3147,3147,3147
New Jersey,Hudson,3/7/2017 13:00,0.25,6050,6050,6050
New Jersey,Hudson,3/15/2017 1:00,1.25,705,705,705
New Jersey,Hudson,3/19/2017 0:45,0.25,1669,1669,1669
New Jersey,Hudson,3/20/2017 13:45,2,9094,20094,17602
